geo_id,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,civilian_labor_force,employed_pop,unemployed_pop,not_in_labor_force,pop_16_over,pop_in_labor_force,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,pop_15_and_over,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,do_date
15,138460,316849,1979,15878,47549,18124,10608,15862,19698,21043,20103,13124,7956,1420491,710702,709789,39.3,308375,26978,521237,151356,1976,1321,274372,1269135,40582,455309,80212,35255,546261,90952,21097,4707,1475,31.6,265364,29411,170872,97334,66391,41699,20234,3597,861,30943,6484,6150,81871,97877,92885,35409,114235,60912,18501560,24091,9842,14171,13740,14803,17909,14612,18829,14371,29884,40807,60450,53504,37961,43919,46416,1613,409800,631700,892300,235162,455309,189945,288575,50280,11219,21758,33494,29155,31053,79761,952,14424,13987,19325,43861,43516,43334,23704,16295,10120,8397,31884,54668,49361,47170,45351,43383,42663,43224,19414,25658,16762,23334,32035,18892,13563,14113,43576,40918,41242,23104,14757,6615,8916,24663,48873,48123,47906,41114,42279,43065,43071,20197,28602,19166,25311,32764,22521,17046,25960,345652,28325,3237,534479,58713,16403,31471,45900,19752,109694,40660,712135,684905,27230,394961,1147756,752795,35492,39142,1852,1189,7186,4829,20140,24458,218828,251343,303255,65059,40380,580261,104144,21,476117,130275,48971,8883,115570,49841,145225,43922,9269,20416,29691,57589,76567,70481,45346,12105,619,42092,0.445,114745,43754,266728,48885,66822,68113,61031,325091,75266,80079,20460,35437,18539,4564,6800,52413,36129,174342,685,234304,22151,39266,110391,234304,63152,70078,150740,166631,150118,161272,62561,734122,1382448,1403653,1370130,122143,150740,315209,25879,37933,707479,110557,218828,244008,58960,79475,145692,995589,47874,65652,72831,669546,151356,,,,,,,,,,,2018
72,388283,791354,1978,178625,63579,20442,12875,18473,22014,23545,21476,18263,6554,3195153,1520415,1674738,42.9,30793,4372,1747,3154017,0,3077,1147,41136,17251,1179637,20296,12805,1553061,373424,27739,21934,378,33.2,793791,2331,302284,149861,48159,32334,11660,2412,1753,101702,22958,19002,106771,137624,144283,47286,162610,78529,29029515,317019,144175,122517,100602,75656,64454,56826,47885,40672,58875,54787,44369,22355,9560,8143,11742,484,80800,110800,158400,438070,1179637,385846,1071943,183062,45146,43633,67120,43821,26571,65899,5866,4174,15010,50929,64214,86451,92874,61318,46416,24736,23884,64343,102593,83426,86871,101051,98088,100502,102079,42115,51577,37209,51578,74464,55060,37568,31998,61582,81019,88172,58380,43937,22858,22525,64414,104125,91301,99263,109794,107733,115805,112820,45474,72197,39782,59046,99740,73623,51528,49620,2079304,400936,4013,5144,57229,26881,48721,91403,40762,201790,1510,1182648,1004429,178219,1500127,2684285,1184158,,,28831,27165,194752,192765,2855,2398,,494271,594010,266594,5241,903299,77865,2280,825434,,,13106,99941,56193,231036,58541,13609,91250,51799,93770,133398,101059,37781,22946,1631,41362,0.5424,,35458,,502922,142453,146861,153451,742847,203140,,36371,60731,28605,49483,33596,132691,52884,394361,1324,323351,31991,182152,,323351,93191,115460,254856,217571,495951,347342,112830,1626814,3165711,,3122920,1363666,254856,,20540,22390,980796,241678,430692,593674,35044,120713,240998,2288030,75602,132165,73536,958406,3154017,,,,,,,,,,,2018
02,87024,167527,1984,8470,15113,6184,4172,8608,10588,10980,10769,7748,4811,737438,382952,354486,34.9,443304,24011,45513,53069,107887,895,54882,684369,4382,254551,74346,35735,318352,63801,8371,3525,1077,27.4,167108,757,102706,60207,40726,22625,15336,2393,372,19481,6297,4875,64546,68345,44414,14334,23643,10947,6413555,11444,8384,8000,8322,8725,8058,9890,8058,8305,18403,30848,34149,29872,18533,21159,22401,1177,184900,276100,378500,127824,254551,87443,200691,23184,17649,23337,14417,8792,10105,5161,14675,7195,10349,5357,26424,26760,25225,14777,10021,6331,5314,16476,34127,28444,27350,21886,22497,24912,24338,10300,13453,9264,10947,10766,6407,3497,3436,25749,25784,24522,14219,9497,3291,3969,13726,28489,26628,26132,21652,19990,21934,22962,9987,12272,7812,9304,11537,6267,4829,3934,474555,25197,111371,46381,60728,2072,4304,9032,7290,50923,17706,371179,345769,25410,183995,572880,388885,2505,2053,1602,1224,4066,1751,31370,35968,89635,117735,183460,30907,4118,285232,43608,0,241624,67025,46303,15884,34973,19458,82411,11023,7578,15461,15879,41942,37178,30893,28154,4935,342,19208,0.4322,56793,26772,137293,34249,40932,40214,38329,185581,35121,32444,8120,15075,11621,1759,4294,30132,24499,95500,322,130611,17865,22213,24509,130611,39585,42810,69643,63120,77775,92320,43035,397353,720869,727164,708414,78620,69643,169188,27597,18738,355403,39938,89635,111553,37391,38582,91859,485353,6376,16322,87738,336665,,,,,,,,,,,,2018
30,165778,265643,1978,14710,29277,9313,7140,10076,13463,17486,17040,13378,8520,1062305,534782,527523,40.1,912200,4899,8474,41605,65452,980,27766,1020700,3876,431421,55328,30680,515161,83740,11445,3895,707,27.4,291018,3900,164197,70728,52271,31710,17653,2188,720,18457,6444,5846,91824,87929,63635,22572,35984,15505,8853865,27366,21951,18131,24157,22396,21901,19036,20672,19942,37350,48702,56953,35936,19158,20393,17377,811,155900,249200,377100,213173,431421,140403,357557,20255,15029,22181,15387,13242,9673,9601,51208,20783,16288,22067,31809,33044,34543,18835,16262,8312,5875,21750,35073,32038,36928,29173,30149,30455,35053,16828,22462,14273,20353,26033,17254,10294,7986,29879,28688,33373,19794,12495,5990,5590,20305,33581,33284,32650,29912,29858,30628,37008,16213,24229,13729,20343,26324,19760,11123,12767,941438,5056,68013,8517,91894,6242,5018,11425,9840,82933,3179,542061,523058,19003,312628,857868,545240,392,285,,,2143,1643,52999,67599,152448,172866,229965,41778,3876,434218,48660,0,385558,113305,43763,34072,62269,36751,119013,28711,8678,28981,26328,32199,59755,45662,29896,10743,582,49172,0.4535,80957,28965,205496,41925,49043,53999,48335,238739,47339,45079,11810,23257,14395,1541,7663,41021,35260,134947,215,191526,10079,21832,9798,191526,60251,56429,112707,102145,114227,161966,84224,535522,1037462,1051757,1028186,135114,112707,251781,28187,37575,514776,71397,152448,170480,56499,57723,123885,735761,11260,21265,127227,477201,,,,,,,,,,,,2018
28,380682,727948,1984,52023,76435,26639,21747,25500,33275,37713,38747,25998,14358,2986530,1446829,1539701,37.7,1684276,1130353,25819,87126,12675,4320,40782,2899404,3048,1108630,44717,24160,1332631,224001,41723,17818,591,30,756195,3036,365204,203783,111963,71327,36290,3168,1178,91820,14167,12453,178397,204915,172675,74126,169096,79520,29622810,117300,71010,71976,68810,62732,59787,52261,53030,49011,78607,110274,131216,67746,41019,40305,33546,777,68100,123300,202100,491760,1108630,352435,914062,16272,34725,39112,59711,32100,17471,14901,202667,41954,46625,44299,89992,102534,107205,61318,52463,23632,20830,59307,95992,86517,97474,87360,85859,88623,92889,38735,50430,30904,41688,58908,39750,18813,15606,87769,89057,108967,58880,46383,23800,20348,56762,102594,93924,103486,92376,92655,92527,97934,43949,59536,35641,47334,69881,50186,34958,30754,1735455,1135599,13234,26142,126439,32940,30642,51824,30495,223063,10553,1326206,1231410,94796,1025922,2362681,1336759,1197,1320,59219,61678,4961,1902,106774,115626,284701,359708,705722,251904,2318,1148796,108124,123,1040672,265787,100001,30496,117574,77365,310643,54959,15278,161967,57386,65638,145942,87295,76886,29981,773,90423,0.4828,173993,98060,589363,168985,157083,165700,166038,772346,164015,288595,30131,44571,26562,20571,40953,116538,77210,356536,660,399518,24832,68961,44265,399518,125562,227196,254230,224904,367794,405441,176011,1502860,2886448,2955717,2885964,567645,254230,640631,16692,32097,1217480,200375,284701,475011,128440,122992,311816,1977283,63582,82319,160753,1185383,87126,,,,,,,,,,,2018
46,125742,219707,1977,10666,17244,8535,6511,8870,12100,13539,14860,12869,5768,882235,445271,436964,37.2,718783,18895,14791,33983,74907,271,20554,848252,1100,345449,56274,29953,397506,52057,9206,3847,631,26.3,234487,1200,129323,68463,46735,35105,10254,814,562,21728,4450,3957,89722,76573,57514,17971,27344,14097,7290210,19810,15170,13864,15293,17024,20878,16522,17793,17637,27562,37876,51063,32766,14480,14742,12969,734,101800,171500,266400,171939,345449,110962,268118,14848,6303,15680,14853,17655,15972,9611,34039,17268,17695,16705,31161,30921,32454,16370,14064,6572,5299,16322,33152,29250,28744,24894,23627,26075,29614,10543,18225,11826,12461,18316,10986,6745,7650,29266,27844,29112,17335,12067,7477,4917,18204,28278,25620,26848,24681,23402,24159,29199,12179,18002,11062,13568,17789,12720,9124,14111,740870,19057,78068,15023,80209,6567,5925,9033,4224,53168,2922,467568,453723,13845,219693,690183,470490,1142,465,1462,460,1783,1254,41258,52925,117943,132893,214463,49301,1100,402558,39397,0,363161,78532,48420,28525,38884,31755,112933,31220,6861,45924,21181,21634,51461,30219,20012,13114,201,37321,0.4445,52455,34043,180511,30727,48216,46733,45809,219023,40852,45157,11611,17264,9222,2686,5137,40744,21420,108084,138,160067,6883,16198,22482,160067,45864,65052,95947,86793,100758,125257,65915,436492,852419,871271,846698,111626,95947,186784,12744,27597,448044,70838,117943,152145,35843,36966,80103,582850,12492,13257,111477,420447,,,,,,,,,,,,2018
16,202505,437765,1986,16157,33841,16496,13981,14471,19489,23361,24358,17757,7443,1754208,882158,872050,36.8,1434463,10007,26186,222464,18867,1429,38570,1531744,6348,640270,55583,27816,735703,95433,10677,6026,728,28.3,452916,4386,290501,132959,102576,47426,50316,3346,1488,30383,9115,8459,128938,146004,106135,40350,74151,36283,15644395,35130,27612,28601,36436,26828,33413,32798,34868,30196,57852,77036,79485,55652,28503,29123,26737,848,154800,233100,343600,348814,640270,187354,532952,24127,17811,31382,19049,16671,12179,16743,62654,41937,22819,27807,59181,62160,67024,41539,25176,10998,12499,37021,60911,55142,56975,52841,52475,50050,54579,17915,33206,21226,26655,34534,26038,13409,10604,54512,61799,62923,36232,24065,12320,9891,33121,56719,55308,54284,55613,50229,48381,57414,20689,31575,20922,27721,37339,26686,15208,19099,1576846,12075,23026,27026,106052,13459,16927,24456,12438,125142,3375,840240,806802,33438,514122,1357737,843615,2712,953,1280,519,12805,8309,83491,93301,213462,244823,445370,77502,6186,704366,71019,0,633347,209351,79954,41718,70245,66078,177953,42145,10817,82174,35796,40264,97014,83085,36642,22871,794,78624,0.4454,102800,30161,318218,60999,96093,101298,102954,451266,87430,103868,19840,35496,20198,10037,14113,58247,50294,208225,469,286376,10774,23920,59787,286376,101475,104512,180901,133538,175552,243323,118851,864306,1723154,1734756,1688927,203264,180901,405399,19701,49341,794523,113323,213462,256141,95336,72465,196740,1143747,30386,36894,146041,745182,,,,,,,,,,,,2018
50,105569,155804,1974,5396,15993,4987,4936,5455,9472,8579,10473,4773,2511,626299,308118,318181,43.1,579944,7206,11841,12450,1701,1143,11875,613849,2776,261373,60782,33956,337133,75760,3891,3183,853,28.8,188798,1576,116755,33985,25498,19235,5266,752,245,8487,2885,2683,44567,48993,40086,20266,34764,21365,7081515,15364,12536,10652,11410,10330,12942,12530,11122,9003,23187,25316,38452,26920,14957,14117,12535,969,157100,233100,340100,122744,261373,72575,225886,14799,18553,21053,14817,6388,8760,5414,21446,7547,7114,11777,15078,15360,17916,10587,12038,5805,4829,11081,19470,17977,18527,15958,19156,20925,23285,9149,14201,8556,11395,16750,10136,5704,4235,13732,16659,16022,10173,9431,5866,4251,11647,19181,18430,18346,17282,19241,21373,23764,10126,15558,10384,12793,15877,11693,7438,8914,589337,7621,1743,11859,36260,10784,10445,12615,5539,46703,757,344075,330947,13128,180256,525088,344832,563,199,413,221,1148,315,37477,44926,103068,128942,115527,21609,2612,273659,29202,105,244457,63117,14007,8981,33240,22391,97977,14024,5288,32226,15529,14995,39077,30564,10060,6595,465,12581,0.4473,69521,25709,127349,29498,24388,27001,27281,141446,37895,28903,7522,17239,11465,1404,5556,29086,14444,86716,146,143904,6441,16509,12100,143904,31686,36068,60177,59112,89022,109380,33881,321949,601261,621681,609159,66013,60177,116983,16920,24206,324340,38133,103068,111598,24420,49452,54430,445824,21229,18154,50710,300134,,,,,,,,,,,,2018
10,129272,238399,1983,6692,26834,9998,5530,10172,9898,11503,11895,10275,3729,967171,467924,499247,41.1,598105,210908,38860,91975,3397,1258,21848,875196,9756,367671,64805,33745,438659,70988,6633,3297,939,31.3,261145,2977,165425,59319,35804,24518,10646,582,58,23515,5581,5581,57236,70248,69463,32333,58098,31509,11274595,22040,14567,12155,18515,17266,17000,13796,14614,13958,27049,39991,50462,35909,21962,24090,24297,1108,173900,255300,367100,173834,367671,106526,252049,74414,5466,8995,14202,23207,6856,13778,39342,21732,16981,17979,27611,25189,32406,17537,11902,6890,6119,17681,33116,30681,29862,24970,27916,31046,32955,13527,17537,11520,16439,21843,15495,8007,7675,26724,26639,30004,17040,12866,6994,7673,14196,32930,30672,29537,28024,30011,33914,35771,13010,23465,13040,18896,26157,20882,9873,10929,659781,217594,4397,39023,39099,13359,14183,21789,12371,93929,3414,486292,458434,27858,298593,788299,489706,2077,1909,12990,11681,5451,3278,37658,46029,124178,157678,203150,56462,7534,401553,41270,614,360283,86426,16009,6146,43498,30425,114026,40218,4631,40645,21192,25182,56067,43474,23602,9328,1257,21691,0.4587,88814,24960,225797,43911,44449,50766,45872,223499,49835,69081,8655,23454,13591,3375,7553,44371,21982,122981,1387,177791,13197,23432,48523,177791,39745,52936,101410,86552,116188,155904,50456,498944,940786,958770,937066,117242,101410,171830,10720,25739,452707,51648,124178,206004,39185,66391,80997,679700,27542,34160,46379,426968,91975,,,,,,,,,,,2018
56,85727,144525,1980,7192,12511,5267,3281,4369,6791,10265,6525,8242,3997,577737,292619,285118,38.5,485040,3102,5612,57895,14292,537,10194,519842,3497,230252,61584,33522,278615,48363,9735,3109,724,26.2,161812,2368,94761,40478,29943,18061,10604,847,431,10535,2499,2279,64917,44481,19731,6883,13659,7650,4331640,12176,7762,11095,10441,10415,12385,10571,8790,10640,16797,25209,31893,23509,13801,13524,11244,818,157700,230500,336700,116706,230252,68440,183007,12357,7304,12632,8817,7769,7161,3271,35891,8997,13117,13681,18356,17875,20646,11067,9941,2634,2280,11033,21162,20179,21069,16764,16528,17922,17947,9578,11578,6647,10339,12544,7826,5053,3651,17039,17062,19999,11052,8684,5050,2482,9401,17821,18092,18503,16069,17019,16018,20055,8083,12192,6738,12135,11064,9644,5309,5607,528453,3667,16185,5807,65934,4011,2598,8136,3969,45388,3711,299120,287436,11684,157291,460122,302831,,,,,3429,1727,28404,36043,66449,81612,133096,26071,3385,244590,28889,0,215701,58466,30225,30534,31586,25950,70460,11644,3946,12001,13132,18000,30182,16135,17385,6481,67,29460,0.4555,39134,14207,113351,12755,28428,30993,31230,144493,29189,26309,7827,11493,6731,931,3092,26427,17052,73553,0,101136,6919,10025,11226,101136,43588,35650,56088,50974,57192,85534,48041,296579,563374,570867,556488,62301,56088,147893,12127,17692,284573,44089,66449,92312,34425,28596,69379,393136,6609,12105,90846,266881,,,,,,,,,,,,2018
23,227765,342542,1975,13224,34216,12339,10557,15472,21667,19928,17700,14927,4051,1338404,655734,682670,45.1,1245001,18501,15356,22411,8204,1315,27527,1315993,3987,570307,55602,32095,746592,176285,9294,6597,747,29.3,406226,3453,247344,74791,53116,37335,12379,2295,1107,21675,5662,4759,98851,92053,86319,42507,71914,46764,15067955,35502,31599,29359,27172,25364,28161,30294,22854,26240,45310,58087,76941,49339,31241,28110,24734,839,122200,197500,297900,267015,570307,164081,515495,15915,37001,43510,30459,11449,17777,12701,61781,16543,18980,34879,32681,35539,36361,23815,17187,5769,8503,23069,40656,40084,40691,35497,41871,46768,49118,22148,31104,21161,24204,32768,19942,14148,12650,30729,32321,36188,20918,15405,6051,7772,22714,39046,40158,39377,37871,43061,48766,56096,22043,32958,21098,25935,38787,25907,17270,22199,1261453,18954,8566,15683,78471,24165,21185,26047,12743,116046,1555,703405,678540,24865,415279,1120239,704960,976,226,1010,1029,1640,784,83356,98561,197489,226506,248552,51903,3373,584151,65824,53,518327,142775,34384,17147,58118,46978,187430,45497,10321,58267,32996,25921,88877,64333,29640,13015,1934,33053,0.4516,112561,35836,309259,78343,52125,59403,58108,270425,59156,68461,19379,31607,17363,3868,9436,72313,37043,191009,1068,253718,13554,42432,22533,253718,70310,84419,145515,124578,187690,230706,76426,707313,1301941,1324095,1298513,151541,145515,295612,27056,39636,665930,95274,197489,258061,61554,79762,138784,983382,45350,38790,103746,626294,,,,,,,,,,,,2018
